zap,13181,51,1
yuh,22851,96,1
gil,411317,657,1
bion,32574,119,1
rig,439554,852,1
hal,978589,1137,1
ort,76447,258,1
law,149178186,7359,1
ape,224581,666,1
boh,3489,30,1
oba,16537,61,1
thin,19449200,4841,1
ane,369663,617,1
ned,671290,1316,1
rsa,120794,248,1
rong,20294,66,1
jung,398811,709,1
gear,5033872,2258,1
dow,379095,811,1
gub,682,8,1
yum,15119,40,1
alp,71023,197,1
tib,13044,49,1
nib,30197,90,1
dog,7733188,4303,1
sky,5266922,3172,1
toc,62136,171,1
tut,51217,104,1
aft,538278,953,1
saw,20568381,8678,1
sam,4976087,3615,1
eve,1356503,1906,1
ila,53894,163,1
diam,88950,188,1
ilea,8767,31,1
eye,17269290,4979,1
lap,1004045,1189,1
thug,38257,217,1
dip,1566572,1273,1
ase,77311,218,1
cup,6960953,2635,1
singe,6838,39,1
gao,1650827,625,1
arn,9087,49,1
gam,24931,120,1
rath,44158,172,1
sial,4355,32,1
pur,459812,661,1
can,374364058,16261,1
rah,10137,31,1
hip,2166890,1533,1
lat,169361,568,1
dig,927817,716,1
rog,11137,38,1
myth,2082167,1718,1
fps,36213,97,1
moz,10389,4,1
vow,300900,506,1
going,30132652,6206,1
ide,189906,382,1
tal,289715,654,1
apia,22023,65,1
daer,576,5,1
urn,481845,600,1
ony,44543,250,1
vag,4568,9,1
bod,197686,294,1
ink,2417444,1601,1
dong,93709,240,1
mingo,213329,123,1
uso,29539,102,1
pap,158218,380,1
ado,50500,205,1
kil,6242,26,1
hoi,130977,88,1
pria,388,4,1
tui,17953,53,1
waw,5632,26,1
ish,160092,529,1
and,18446744071860129058,30716,1
aby,4784,17,1
yus,643,7,1
swing,2243854,1714,1
leng,9276,51,1
rox,3201,15,1
aping,12726,73,1
tear,1873890,1542,1
fie,73620,311,1
ice,12453387,4282,1
tez,985,4,1
lop,40190,159,1
dad,2344492,1758,1
loth,114728,137,1
bye,615012,748,1
lias,417321,865,1
liar,273417,423,1
oat,586696,533,1
ref,428557,538,1
wry,168099,306,1
gib,24421,98,1
bob,5511399,3474,1
feb,2464929,1585,1
kee,134815,171,1
xix,391687,454,1
kan,905141,605,1
inger,18632,59,1
foes,644486,853,1
dug,1133159,1064,1
tad,136501,440,1
meth,66414,198,1
kam,21828,105,1
eying,11272,75,1
ada,971421,1288,1
pre,21613261,4967,1
ast,158819,342,1
fat,7960508,3886,1
ufo,93605,225,1
rhy,982,6,1
ask,11607919,3818,1
ccc,375716,545,1
vis,1931021,1840,1
zur,149056,160,1
lvi,30027,51,1
with,2018667503,28850,1
hys,40296,171,1
sad,3525990,2547,1
oaf,13008,66,1
nox,257712,314,1
than,254356337,22166,1
fey,29241,154,1
kye,2313,19,1
mad,2478158,2310,1
aeon,15423,49,1
she,420680150,12702,1
xxi,273570,359,1
wey,28711,35,1
abs,304814,456,1
fra,193455,469,1
kab,1365,6,1
och,66257,124,1
ami,683812,2476,1
ust,184245,322,1
eaux,46653,17,1
ruc,24679,76,1
ruth,3382023,2837,1
iamb,2109,22,1
aloe,81307,148,1
mil,386911,712,1
way,85967867,9646,1
wye,199570,167,1
owl,599500,965,1
waes,1163,5,1
hoh,12904,26,1
thow,3804,27,1
jam,714348,843,1
obs,86095,154,1
rung,171017,350,1
jun,564270,704,1
had,697167826,20436,1
arx,6765,16,1
fen,160335,298,1
hum,282879,605,1
him,207240010,10737,1
mom,1789007,1531,1
jag,55968,114,1
tap,1234433,1456,1
sop,48345,149,1
app,829805,925,1
yip,25334,55,1
thoo,216,2,1
liz,571149,925,1
yob,115,2,1
bung,32554,74,1
fit,5707547,4201,1
old,128495667,13803,1
ser,868837,758,1
rey,225361,379,1
wat,62746,264,1
hoing,2006,6,1
hsi,55373,165,1
syd,47612,182,1
equ,7782,29,1
bar,23066873,4907,1
head,51796066,9112,1
sos,90991,248,1
suk,5129,34,1
pay,24736746,4612,1
pgp,11667,47,1
beam,13174148,2565,1
doer,41912,128,1
peh,827,3,1
oom,7751,27,1
fah,2758,9,1
lis,224065,783,1
oys,1650,9,1
gau,9495,33,1
bah,27193,31,1
hrs,170515,257,1
frae,29784,143,1
asc,87594,207,1
deaf,1512261,1043,1
elf,210215,533,1
idea,14349292,3975,1
fan,4257964,2378,1
vox,19976,77,1
baa,39981,175,1
hong,643137,948,1
jee,3927,16,1
eek,7370,33,1
lym,2378,15,1
pus,624735,639,1
aias,10165,31,1
fiat,363453,822,1
neg,33092,97,1
yad,2736,14,1
gaia,39080,162,1
coz,9814,44,1
miz,46713,94,1
dhu,56935,24,1
sol,543952,917,1
hey,1275879,1285,1
beg,1620159,779,1
yrs,71712,98,1
fir,1752364,1061,1
oof,2524,9,1
jen,166728,458,1
rep,2419567,1606,1
dag,43619,161,1
ita,159301,482,1
flea,1104311,349,1
