zap,120796,29,1
yuh,107793,63,1
gil,612994,89,1
bion,195837,29,1
rig,2403907,99,1
hal,1230885,113,1
ort,604231,77,1
law,537014119,260,1
ape,2386253,64,1
boh,54423,28,1
oba,271606,30,1
thin,25933785,183,1
ane,851074,101,1
ned,1286819,123,1
rsa,784793,37,1
rong,145826,70,1
jung,1524226,140,1
gear,7360426,114,1
dow,2714849,100,1
gub,19401,19,1
waeg,125,1,1
yum,82982,44,1
alp,586341,32,1
tib,136752,35,1
nib,224974,29,1
dog,29527405,160,1
sky,47998997,109,1
toc,361203,41,1
tut,319764,83,1
aft,1367438,97,1
saw,73522548,270,1
sam,7183591,187,1
eve,9085887,107,1
ila,472913,54,1
diam,2460447,51,1
ilea,88740,28,1
eye,79203573,176,1
lap,4022068,83,1
thug,185351,29,1
dip,4886920,95,1
ase,325347,71,1
cup,12489697,143,1
singe,134828,40,1
gao,3198875,132,1
arn,118716,37,1
gam,237133,61,1
rath,293945,52,1
sial,42040,19,1
pur,2365461,113,1
can,582656301,318,1
rah,137313,83,1
hip,7466201,89,1
lat,3900628,123,1
dig,5628885,114,1
rog,60271,39,1
myth,9848596,70,1
fps,200696,22,1
moz,16137,14,1
vow,1567766,46,1
going,100848256,254,1
tal,914697,147,1
ide,576839,103,1
apia,358441,18,1
daer,9943,21,1
urn,1663520,120,1
ony,433369,64,1
vag,26015,21,1
bod,852599,69,1
ink,7340368,94,1
dong,1060514,148,1
uso,390134,55,1
mingo,225550,33,1
pap,1083177,71,1
ado,348112,56,1
kil,100178,46,1
hoi,296894,92,1
pria,30709,22,1
tui,163433,51,1
ish,275063,100,1
waw,78371,25,1
tyt,4035,11,1
and,1064773814,318,1
aby,50660,38,1
yus,10118,14,1
swing,6394334,99,1
leng,117125,63,1
rox,53572,36,1
aping,76893,29,1
tear,5992957,93,1
fie,326301,98,1
ice,54979828,195,1
tez,19280,16,1
lop,488981,45,1
dad,10778692,115,1
loth,659436,41,1
bye,3040508,76,1
oat,1283016,75,1
liar,619832,59,1
lias,898389,76,1
ref,8349432,119,1
wry,295936,36,1
gib,142265,38,1
bob,5270860,161,1
feb,7491365,182,1
xix,808613,98,1
kee,372769,111,1
kan,886952,156,1
inger,48501,33,1
foes,1601353,46,1
dug,2838709,93,1
kam,253425,84,1
meth,346770,45,1
tad,225321,65,1
eying,11931,22,1
ada,4092089,102,1
pre,75388661,203,1
ast,690875,94,1
fat,22882125,173,1
ufo,392060,28,1
rhy,13462,13,1
ask,84538467,175,1
ccc,2803974,51,1
vis,1139240,131,1
zur,97043,63,1
lvi,67782,32,1
with,447442846,317,1
hys,294206,42,1
sad,11589519,127,1
oaf,84878,20,1
nox,876220,44,1
than,20487448,308,1
fey,179226,48,1
kye,59865,26,1
mad,9043779,140,1
aeon,130316,24,1
she,253684159,300,1
xxi,511787,85,1
wey,153998,43,1
abs,1252916,65,1
fra,1179740,97,1
kab,77344,21,1
och,78400,75,1
ami,755476,140,1
ust,384091,66,1
ruc,302278,23,1
eaux,43085,20,1
ruth,3720583,129,1
iamb,65951,14,1
aloe,346429,31,1
mil,1706431,152,1
way,372072518,246,1
wye,1009488,29,1
owl,3752572,57,1
waes,34196,25,1
hoh,101446,32,1
thow,54465,39,1
jam,1960590,98,1
obs,345514,40,1
rung,610872,54,1
jun,786915,156,1
had,883850081,318,1
arx,67101,15,1
fen,751845,108,1
hum,2153544,116,1
him,612038931,261,1
mom,8744940,111,1
jag,242963,39,1
tap,6284115,101,1
sop,366340,46,1
app,17170723,138,1
yip,60298,45,1
thoo,10462,26,1
liz,625465,68,1
yob,9830,16,1
bung,318310,37,1
fit,28269251,200,1
old,373038976,242,1
ser,4523596,155,1
rey,693335,78,1
wat,762933,107,1
hoing,7879,12,1
hsi,497874,67,1
syd,144683,53,1
equ,146408,24,1
head,186373865,261,1
bar,69660666,221,1
sos,589583,60,1
suk,97356,49,1
pay,186621112,226,1
pgp,96100,19,1
beam,19017091,162,1
doer,597396,24,1
peh,52363,25,1
oom,69490,40,1
fah,51189,36,1
lis,2312874,144,1
oys,18005,21,1
gau,113792,42,1
bah,122900,53,1
hrs,378821,50,1
frae,43666,45,1
asc,547811,29,1
deaf,11433347,71,1
elf,1340471,51,1
eyd,1498,3,1
idea,148464296,159,1
fan,7269732,190,1
vox,231313,44,1
baa,265270,57,1
hong,11641023,206,1
jee,59659,43,1
eek,37531,32,1
lym,40262,15,1
pus,3503760,75,1
aias,45784,16,1
fiat,1543598,61,1
neg,410964,53,1
yad,125667,37,1
gaia,353816,34,1
coz,123593,36,1
miz,69605,42,1
sol,3144617,145,1
dhu,49235,18,1
hey,858740,99,1
beg,5287476,94,1
yrs,96940,35,1
fir,2447555,110,1
oof,26121,20,1
jen,637438,106,1
rep,7809424,155,1
dag,350128,53,1
lean,6094546,111,1
flea,835571,43,1
ita,900561,90,1
lum,204846,84,1
dean,14509939,184,1
pad,2589850,96,1
len,531903,112,1
aue,32354,20,1
pip,735612,50,1
eli,1346624,90,1
pec,235969,42,1
zingy,4059,10,1
tax,104341787,219,1
amy,1839018,109,1
kol,396655,58,1
ala,2666987,113,1
fou,196591,68,1
ouf,12741,21,1
yeh,241467,123,1
ind,2231413,182,1
ker,305976,80,1
hoo,330530,86,1
ewing,1075245,66,1
bel,1491493,121,1
luc,631288,58,1
hup,61083,31,1
tub,3381569,66,1
pet,4576999,142,1
mun,489813,122,1
bid,10195104,159,1
ail,1529073,118,1
awa,254413,73,1
dab,367251,47,1
kis,84955,35,1
ass,7897464,142,1
cel,187909,55,1
sey,111068,54,1
not,18446744071920971764,314,1
oor,181766,64,1
ben,7156717,206,1
xis,24738,15,1
wuh,5486,19,1
then,151746878,316,1
pun,905240,72,1
nob,241058,37,1
jut,102844,45,1
eft,375869,60,1
han,4116487,215,1
sik,71529,53,1
vet,1638219,103,1
hit,13743472,218,1
arb,512031,33,1
this,18446744072577737005,315,1
lox,126085,29,1
lings,32450,48,1
pee,899367,85,1
cit,9968696,92,1
dung,1673791,60,1
bun,512534,87,1
vol,15126305,245,1
cling,1739897,48,1
sat,21523806,245,1
lear,3422623,60,1
tai,1273157,146,1
goth,380392,40,1
naw,83635,48,1
gaed,23279,15,1
ingoing,97596,18,1
joes,37651,23,1
brae,191178,24,1
las,7737694,168,1
zad,9129,15,1
ouk,8582,22,1
peag,2262,4,1
hings,10095,17,1
dot,4110516,128,1
our,817262243,296,1
lang,1903197,185,1
hap,702910,64,1
gie,104975,50,1
amu,306846,26,1
yin,1235595,127,1
kou,81612,60,1
noes,572312,32,1
kings,20686183,125,1
ike,630444,97,1
mab,393480,45,1
cep,260271,45,1
viae,11650,22,1
yon,1923427,135,1
fix,17045644,122,1
ife,482547,41,1
yao,544999,116,1
hie,883708,121,1
hue,2170199,78,1
sal,1594904,145,1
waer,5503,18,1
sac,5681106,87,1
lud,164951,43,1
low,171831011,249,1
was,18446744071941985780,318,1
cur,971853,94,1
hir,724324,65,1
odd,16927390,107,1
pat,2996987,172,1
hin,245158,82,1
thou,16313919,176,1
nut,3783774,120,1
leah,540402,51,1
ara,855832,105,1
pung,21808,23,1
vom,134293,42,1
oaep,3066,7,1
fang,791585,133,1
sig,799658,89,1
der,6680151,213,1
pom,349161,60,1
loc,2283721,96,1
dead,87108551,180,1
hen,3481253,156,1
ohs,95256,17,1
alea,26511,17,1
ingle,174014,41,1
arm,36270843,176,1
jin,783585,156,1
boi,187245,45,1
wod,27823,29,1
gean,11820,15,1
goer,22716,18,1
mar,8021175,203,1
feg,20137,10,1
faa,5130250,56,1
nab,548644,45,1
rie,158907,56,1
nog,94965,45,1
linga,203350,18,1
eva,1460495,102,1
mead,1922023,90,1
meio,52030,16,1
ftp,566399,27,1
bom,623937,94,1
ilk,109272,53,1
lion,12286929,138,1
bbb,398249,25,1
doc,5116082,128,1
thos,2326799,63,1
binge,392340,34,1
dev,458577,79,1
tet,393641,46,1
sov,214809,34,1
sian,225761,48,1
don,10870797,213,1
lil,323068,74,1
any,1259764958,288,1
fut,263960,61,1
con,19758430,224,1
maia,128105,38,1
xvi,1125038,109,1
fling,812304,56,1
fod,45501,30,1
urea,4002513,69,1
things,112791301,215,1
nar,423892,71,1
sec,33751792,227,1
esth,19795,14,1
ave,1369577,171,1
ops,1717638,62,1
fer,1442578,126,1
het,949786,91,1
ginge,4353,17,1
mes,841528,120,1
joey,490398,57,1
gal,1538015,137,1
kaf,44234,14,1
lac,3664066,97,1
ins,3602579,179,1
tup,107123,25,1
apr,3060310,152,1
ist,1692647,132,1
tat,723378,134,1
baer,305556,68,1
lid,6860030,109,1
mug,907210,40,1
tung,915647,107,1
wee,1433928,136,1
ions,7490918,164,1
gap,17384041,109,1
sex,35945171,161,1
rang,1261521,122,1
earl,26547705,146,1
gun,20787842,159,1
yes,31200115,241,1
mee,652712,94,1
soth,45959,23,1
oui,155024,53,1
aly,102672,37,1
uni,1774696,89,1
hex,404164,42,1
feu,848899,46,1
ure,520867,110,1
aux,383187,67,1
thir,343482,43,1
foen,532,3,1
irk,70026,33,1
pro,23115446,219,1
kra,95946,25,1
pig,8956047,103,1
tod,353723,65,1
dei,408933,98,1
ein,518578,89,1
ino,178178,48,1
day,323957328,267,1
emu,1073949,37,1
ach,873042,70,1
gog,230222,30,1
sar,1327400,96,1
roy,5253633,182,1
pang,432148,91,1
alo,103776,44,1
thro,233349,58,1
piaf,12865,15,1
gay,10604788,131,1
dif,1372775,46,1
vei,43527,47,1
mit,5796668,131,1
reh,90127,33,1
bez,24909,27,1
jai,608440,52,1
heal,5832869,73,1
ism,473213,85,1
vying,78723,29,1
noa,133776,46,1
alae,116947,17,1
linge,26875,21,1
hat,6807872,177,1
tig,191334,45,1
ash,10116180,139,1
shh,62713,22,1
urd,61353,23,1
fin,4299307,137,1
two,735207002,290,1
woes,968823,32,1
wer,435658,109,1
leg,12787107,134,1
www,1432790,62,1
seax,6468,4,1
ban,5950721,162,1
jim,5365654,164,1
tec,371684,72,1
wid,311227,71,1
jong,1428790,84,1
zan,66029,52,1
lip,5538225,93,1
team,27488198,231,1
being,312720009,309,1
apa,1814318,54,1
nuf,12399,11,1
rei,345638,77,1
nag,574085,53,1
area,186954569,277,1
that,18446744071698064797,318,1
sean,978467,82,1
fri,416587,49,1
ous,203452,109,1
zel,12157,21,1
ygo,331,3,1
mem,1833812,118,1
cut,66892426,257,1
theat,18787,16,1
rye,4148934,77,1
ber,1115679,161,1
oop,105668,41,1
lav,302772,49,1
hod,300894,54,1
duo,723365,71,1
haet,528,4,1
aah,51679,20,1
sur,2057092,136,1
theow,2507,4,1
off,56458666,275,1
sear,343394,38,1
val,3779038,125,1
tip,19777013,127,1
ego,9204211,82,1
pax,518350,51,1
col,9387521,177,1
rhe,470753,52,1
pry,1090863,39,1
tis,300880,103,1
sew,1433288,60,1
mph,135968,51,1
aking,105263,31,1
elt,158362,22,1
wot,210737,61,1
hog,3210206,77,1
icy,3197698,57,1
eave,161709,25,1
lai,1718039,172,1
khu,29342,22,1
thom,637598,60,1
mot,845201,104,1
seat,24434361,120,1
jean,8683123,171,1
taj,639373,33,1
pyx,92988,14,1
yee,178662,112,1
sel,515552,94,1
winge,16858,14,1
gig,841591,45,1
pie,3179109,124,1
nip,605869,46,1
jur,3221569,49,1
bang,993660,107,1
udo,54324,20,1
zings,2299,6,1
pub,12997927,145,1
path,33787247,157,1
ord,1338462,101,1
med,3873948,183,1
foo,251553,73,1
sif,125966,25,1
imp,1275104,92,1
mac,3872704,145,1
toi,191065,60,1
inc,37059512,240,1
elk,3112493,74,1
uns,179324,60,1
dying,14751324,106,1
zoo,2778936,75,1
laz,37356,27,1
yez,42893,27,1
jan,11686807,231,1
toy,2541332,103,1
cow,10298807,119,1
ule,52371,42,1
aba,2397650,76,1
pfc,387010,29,1
wur,55040,33,1
paw,677404,58,1
kue,13950,17,1
yaw,504227,38,1
ket,132860,58,1
ted,2046650,188,1
mias,44430,13,1
egg,20733861,122,1
leap,3060913,53,1
viol,282787,32,1
dal,478714,105,1
poa,270751,28,1
bap,281490,45,1
you,1047195933,314,1
long,365444966,288,1
lof,74684,39,1
fiz,588854,36,1
riot,3073557,65,1
brio,31480,24,1
bab,639648,45,1
kean,499889,41,1
ingot,1589615,47,1
ton,3446136,222,1
tas,374641,69,1
pho,167859,48,1
jaw,5154445,63,1
key,65835285,206,1
dee,1572203,142,1
zen,1625572,74,1
end,419650101,248,1
nub,326393,23,1
dos,3736953,111,1
mung,131962,32,1
mang,82932,57,1
eking,46927,28,1
mak,616024,82,1
ringe,20597,25,1
boa,442176,57,1
tua,173172,70,1
par,16729188,197,1
bin,2403317,151,1
tong,505264,145,1
pta,748818,44,1
yan,527912,144,1
keng,65798,48,1
winging,60566,27,1
tuth,2175,6,1
goo,420352,71,1
mme,2259239,61,1
ren,579651,144,1
fry,2299199,104,1
haen,84100,10,1
qua,775666,117,1
neb,570756,57,1
ere,947482,168,1
loeb,542568,51,1
ake,151678,56,1
slae,20218,7,1
sib,332674,44,1
dian,227392,72,1
one,1361725817,314,1
att,649994,99,1
lye,746417,60,1
hung,6134930,186,1
sum,87663873,196,1
lung,13877689,134,1
tow,4811602,97,1
pith,1308317,29,1
lag,2539710,97,1
jor,159863,56,1
nop,80281,22,1
oke,131011,34,1
pean,67490,33,1
kui,63940,39,1
eale,15054,14,1
gey,21252,28,1
nei,290570,83,1
sic,2605379,131,1
lith,183310,36,1
gnu,227143,26,1
rua,267861,48,1
sid,662526,81,1
owing,3865250,154,1
tim,2370165,144,1
hic,151243,53,1
wos,133464,32,1
sings,1321824,66,1
fas,980096,68,1
ola,173601,51,1
uno,677110,77,1
kir,124034,35,1
hye,110545,49,1
kow,92701,44,1
hoed,102863,30,1
sok,44938,31,1
hoc,10345535,94,1
asp,958630,43,1
floe,288876,24,1
ruing,8372,24,1
reos,9093,11,1
cod,3865402,98,1
orc,256853,26,1
ngai,67232,31,1
hwa,91758,62,1
yead,8372,6,1
tic,912035,130,1
eyn,6371,16,1
lex,1456672,78,1
gong,805600,105,1
moy,214302,59,1
vhf,701266,36,1
poz,16171,19,1
met,42079765,264,1
ivy,2540569,75,1
ate,4680049,205,1
loo,1160056,122,1
umm,271441,40,1
cang,16716,21,1
bit,7363004,199,1
auk,269255,30,1
win,26665994,187,1
ebb,2268455,40,1
dingy,659544,28,1
gis,1455697,51,1
bios,316119,27,1
gos,266750,42,1
sla,790453,36,1
wai,432825,91,1
aecia,29256,9,1
kin,7111710,138,1
iva,153952,47,1
men,236188728,279,1
chi,5709738,179,1
lue,114142,55,1
fei,302578,78,1
alia,410165,81,1
lif,492831,59,1
ata,580076,85,1
thet,192011,69,1
aye,561753,97,1
moer,5415,16,1
psi,1150153,68,1
til,698085,148,1
sma,571990,60,1
daw,167372,52,1
lib,1849724,115,1
mou,532235,67,1
asa,1653146,98,1
nep,569834,31,1
zag,29899,15,1
fig,191312014,272,1
rap,1058776,67,1
mis,2826536,140,1
boeing,1751804,70,1
oping,11699,24,1
tum,1339663,108,1
aria,697788,58,1
lou,993358,117,1
wiz,91847,28,1
wed,1477478,94,1
tor,1350488,202,1
lui,809919,93,1
wok,277305,32,1
oreo,61027,21,1
nul,125965,39,1
hying,23227,22,1
ono,499108,62,1
die,49090681,236,1
zig,548820,33,1
wex,17964,19,1
def,667769,73,1
oot,77587,51,1
cap,10966965,159,1
lax,1175595,60,1
gan,894409,136,1
cgi,214996,23,1
gas,79094995,228,1
une,683908,113,1
peon,191884,25,1
ers,979592,168,1
yap,350685,60,1
agio,48540,16,1
ays,55035,51,1
awd,23113,21,1
goa,1925434,57,1
thingy,5645,11,1
ham,3314356,155,1
kai,686700,127,1
foy,235888,50,1
und,550625,187,1
bings,8199,12,1
ago,1791550,114,1
thus,50221273,282,1
tao,1597962,113,1
lingo,204771,31,1
kang,438672,157,1
shy,2316735,68,1
oda,568422,42,1
lut,106614,45,1
few,41479911,185,1
apo,599191,53,1
sty,187196,43,1
owd,22429,26,1
hath,12865950,142,1
dan,4546556,204,1
