"the",109892910936,1,"ᚦᛖ",72
"of",66814257868,1,"ᚩᚠ",9
"to",40339942814,1,"ᛏᚩ",66
"in",34866898095,1,"ᛁᚾ",60
"is",16826450889,1,"ᛁᛋ",84
"as",11284536568,1,"ᚪᛋ",150
"it",10906969055,1,"ᛁᛏ",90
"be",10648774559,1,"ᛒᛖ",128
"by",10597402251,1,"ᛒᚣ",164
"on",10252666222,1,"ᚩᚾ",36
"or",8359480773,1,"ᚩᚱ",18
"at",7356366461,1,"ᚪᛏ",156
"he",7014830546,1,"ᚻᛖ",90
"an",5616065899,1,"ᚪᚾ",126
"we",4157118545,1,"ᚹᛖ",86
"if",3062437786,1,"ᛁᚠ",33
"no",2885500906,1,"ᚾᚩ",36
"so",2698668072,1,"ᛋᚩ",60
"do",2218728847,1,"ᛞᚩ",96
"my",2008525155,1,"ᛗᚣ",174
"up",1862957441,1,"ᚢᛈ",46
"me",1498343174,1,"ᛗᛖ",138
"us",928610289,1,"ᚢᛋ",56
"go",600623078,1,"ᚷᚩ",24
"de","537709213","1","ᛞᛖ",156
"am",536678875,1,"ᚪᛗ",168
"et","439739342","1","ᛖᛏ",126
"ii","426393867","1","ᛁᛁ",62
"al","410537588","1","ᚪᛚ",170
"king",331849705,1,"ᚳᛝ",92
"thing",304444744,1,"ᚦᛝ",84
"co",249792572,1,"ᚳᚩ",20
"sea",237032625,1,"ᛋᛠ",162
"ed","221686531","1","ᛖᛞ",156
"re","213182951","1","ᚱᛖ",78
"la","208067907","1","ᛚᚪ",170
"mr","185800733","1","ᛗᚱ",82
"oh","140262037","1","ᚩᚻ",30
"mm","126228609","1","ᛗᛗ",142
"st","113540821","1","ᛋᛏ",112
"cm","105787248","1","ᚳᛗ",84
"thy",99995452,1,"ᚦᚣ",108
"ca","99784715","1","ᚳᚪ",110
"ad","92011291","1","ᚪᛞ",186
"en","89820518","1","ᛖᚾ",96
"ex","85722120","1","ᛖᛉ",114
"le","82437410","1","ᛚᛖ",140
"vi","81620913","1","ᚢᛁ",34
"ch","79920695","1","ᚳᚻ",36
"ring",79578630,1,"ᚱᛝ",90
"via",73217182,1,"ᚢᛡ",110
"ma","68848760","1","ᛗᚪ",168
"el","68736795","1","ᛖᛚ",140
"id",67890824,1,"ᛁᛞ",120
"ml","67818316","1","ᛗᛚ",144
"ye","67104055","1","ᚣᛖ",170
"eat",66921769,1,"ᛠᛏ",168
"dc","65775245","1","ᛞᚳ",102
"dr","61778699","1","ᛞᚱ",100
"ft","60881513","1","ᚠᛏ",61
"un","60613777","1","ᚢᚾ",32
"il","60445441","1","ᛁᛚ",104
"ll","58842236","1","ᛚᛚ",146
"du","55786639","1","ᛞᚢ",92
"ph","54811178","1","ᛈᚻ",66
"ear",54553030,1,"ᛠᚱ",120
"tho","53901065","1","ᚦᚩ",12
"ny","53668863","1","ᚾᚣ",132
