i,268356091,8200,1
e,37940069,5877,1
ae,178700,393,1
p,18476936,3903,1
l,27742937,5003,1
h,30962625,4236,1
f,19164877,4463,1
ing,3681517,3101,1
s,129386030,10766,1
r,24122496,4308,1
v,65007407,4702,1
y,10326835,3874,1
oe,144649,465,1
a,18446744072273232550,13807,1
ea,169462,420,1
n,20262504,4575,1
j,43004510,4589,1
b,36000077,5370,1
m,33584067,5309,1
w,30074545,3872,1
t,19634888,4634,1
z,2554137,1424,1
o,13926653,4863,1
q,2550063,1774,1
g,18032151,3840,1
th,1890478,1893,1
ia,477466,900,1
k,10478143,3011,1
u,3137246,2244,1
x,6716558,2735,1
d,32705883,5455,1
c,40255851,5749,1
io,260161,595,1
