he,648789796,41,1
it,1763531646,41,1
tea,22605951,40,1
sea,179373377,40,1
in,1497641824,41,1
king,225131666,40,1
at,432986516,41,1
ct,4552330,37,1
pi,4789597,40,1
ring,25622889,40,1
be,18446744072390826222,41,1
via,5261923,39,1
an,2029409967,41,1
of,616277425,41,1
my,703533344,41,1
us,273868165,41,1
on,445833457,41,1
to,18446744071809078073,41,1
or,248593829,41,1
eon,199502,31,1
thing,48175930,39,1
do,681214017,41,1
me,465055216,41,1
go,258277854,41,1
sing,14221668,39,1
am,9696815,40,1
up,115373612,41,1
no,647664009,41,1
eat,40324605,39,1
as,583835143,41,1
we,501689375,41,1
so,607930239,41,1
by,410021221,41,1
the,173262934,41,1
co,100583366,41,1
is,18446744072965962865,41,1
wing,13732155,37,1
id,5763976,41,1
if,346251240,41,1
ear,26654172,38,1
thy,34009500,39,1
